265.77 339.47 368.00 -34.36 288.53 263.33 298.03 245.89
7.35 293.67 269.51 107.92 138.19 144.91 184.97 161.17
0.91 285.79 257.43 110.19 126.88 139.86 173.20 156.61
25.22 290.40 256.27 100.28 114.36 134.53 170.35 151.01
20.73 284.69 256.74 95.01 119.30 138.65 170.70 152.22
69.39 293.28 247.72 86.57 92.12 131.77 155.27 143.27
62.96 254.94 211.76 69.39 78.69 113.56 140.46 121.66
63.23 277.22 233.07 87.34 77.00 122.24 146.29 132.51
76.39 291.11 243.71 82.90 99.36 124.34 152.28 144.90
76.50 288.74 249.73 76.81 105.84 130.83 159.87 149.59
86.63 290.95 178.49 88.26 108.74 136.28 152.51 149.77
86.63 290.95 178.49 88.26 108.74 136.28 152.51 149.77
70.90 287.70 245.51 82.84 95.64 126.04 154.91 139.26
69.05 288.57 238.63 86.30 97.53 125.84 146.53 141.89
69.05 288.57 238.63 86.30 97.53 125.84 146.53 141.89
70.23 289.07 247.41 80.59 101.38 125.08 157.00 140.80
111.67 272.90 286.46 42.14 153.39 143.00 197.38 119.28
30.90 275.71 244.04 93.38 110.00 125.09 159.44 137.62
118.42 228.97 281.32 42.84 152.70 144.87 183.25 130.03
118.42 228.97 281.32 42.84 152.70 144.87 183.25 130.03
95.68 276.01 262.71 84.10 127.22 92.88 139.86 132.10
92.64 279.82 270.73 75.02 131.11 89.73 172.93 132.88
173.25 309.07 332.99 -4.19 211.24 198.57 252.46 180.95
36.78 280.64 251.25 88.10 113.40 136.90 161.72 146.13
88.83 274.88 268.25 70.97 128.12 96.69 178.07 126.95
83.64 284.33 176.66 87.00 104.47 128.99 149.96 145.47
128.79 274.22 303.72 23.99 170.40 159.16 219.85 138.79
128.26 272.07 300.16 23.26 169.57 158.48 219.53 137.94
77.72 275.06 218.96 98.45 79.03 116.79 128.05 136.44
117.46 249.56 290.07 38.50 155.17 150.16 199.41 125.23
116.43 234.12 281.38 39.10 152.22 148.71 196.94 124.78
116.43 234.12 281.38 39.10 152.22 148.71 196.94 124.78
116.43 234.12 281.38 39.10 152.22 148.71 196.94 124.78
117.54 231.76 273.15 38.70 150.19 147.38 196.90 122.94
117.54 231.76 273.15 38.70 150.19 147.38 196.90 122.94
