-3.15 -0.80 0.54 -2570.00 1.68 -1.17 -5.08 0.94 -1.35 -3.84 -0.40 -0.55
-2.76 -0.84 -0.35 -2613.48 -0.17 0.02 -4.64 -0.72 0.20 -4.42 -2.86 2.06
-1.78 0.54 -0.67 -2526.27 -0.80 -2.94 -1.48 0.10 -0.01 -5.61 -0.77 0.66
-1.92 -0.84 0.62 -2552.66 -0.03 -3.81 -1.75 0.58 -3.21 -7.22 -1.66 -2.34
-1.47 1.80 1.24 -2546.37 -0.31 0.59 -0.72 -0.51 -1.44 -2.92 -0.15 3.53
-2.76 -0.84 -0.35 -2610.57 -0.17 0.02 -4.64 -0.72 0.20 -3.45 -2.85 2.06
1.20 0.09 -2.26 -0.15 -2639.89 -0.17 -3.80 1.85 -0.74 0.56 -37.19 -2.19
1.20 0.74 -0.42 -0.15 -2712.40 0.24 -0.96 1.19 -0.35 0.46 -42.43 -1.86
-2.06 -1.38 0.20 1.21 -1226.31 -1.02 -3.94 -0.21 -0.90 0.55 -23.78 -3.89
0.45 1.58 -0.42 0.69 -2719.19 -0.17 -0.96 1.19 1.83 0.46 -55.08 -4.12
-0.70 -2.34 -0.66 -0.58 -2690.72 -1.28 -0.75 0.62 -2.18 -3.57 -64.53 -1.75
1.08 -4.10 -1.42 -2.97 -2673.75 0.66 -0.10 1.20 -3.97 -5.50 -31.57 -1.90
0.25 -2.20 -3.15 0.33 -0.03 -2652.47 -7.55 1.92 -0.27 1.06 -1.69 -15.89
0.15 -2.48 -1.88 -3.76 -0.25 -2604.57 -3.70 2.43 -0.44 -3.49 0.96 -16.29
1.23 -0.26 1.45 0.19 -0.29 -2698.88 -3.80 -0.46 2.03 -1.82 -0.89 -11.72
-0.60 -2.78 0.46 -0.88 0.95 -2665.48 -0.54 -2.34 2.03 3.09 -2.49 -14.53
-0.57 -1.40 0.69 -0.47 -1.25 -2350.05 -4.13 -1.82 0.02 -2.19 -0.77 -10.34
2.94 -2.61 -0.35 -0.81 -1.63 -2509.58 -0.16 -1.26 -1.69 -2.91 0.29 -10.21
-0.67 -6.46 -2.65 -0.26 -2.66 -2.37 -1371.74 -3.19 -2.81 -0.46 -1.35 -1.07
-0.67 -6.46 -2.96 -1.01 -1.94 -2.86 -1367.07 -4.68 -1.62 -1.20 -1.01 -2.53
-0.65 -6.46 -2.96 -1.01 -1.94 -2.37 -1359.42 -3.19 -1.62 -1.20 -1.01 -2.53
-0.83 -6.46 -2.58 -1.01 -3.24 -2.86 -1348.29 -3.19 -2.45 1.04 -1.01 -1.07
-0.67 -6.46 -2.65 0.56 -2.64 -2.37 -1376.90 -3.19 -2.81 -0.46 -1.87 -1.07
-0.67 -6.46 -2.96 -1.01 -1.67 -2.86 -1365.68 -3.19 -1.62 -1.20 -1.01 -2.54
0.10 -12.71 -1.05 1.06 0.31 1.78 -3.35 -2208.68 -0.74 1.50 1.48 -0.47
0.10 -11.12 -0.07 1.06 0.31 1.78 -3.35 -2206.70 -0.74 -0.79 -0.29 -0.39
0.10 -14.96 -3.20 0.60 0.31 1.78 -3.24 -2180.46 -2.05 -0.21 -0.48 -0.47
0.10 -9.88 -3.20 0.60 0.31 1.78 -3.24 -2172.22 -2.05 -0.21 -0.29 -0.47
0.10 -11.88 -0.07 1.06 0.31 1.78 -3.35 -2192.80 -0.74 1.50 -0.29 -0.39
0.10 -11.88 -0.15 1.06 0.31 1.40 -3.35 -2151.91 -0.74 1.50 -0.29 -0.82
0.71 -1.49 -0.43 0.11 -1.26 -0.30 -2.42 -1.95 -1335.21 1.99 -4.08 -3.36
-0.75 -0.48 -2.56 1.26 -4.55 -1.07 -3.00 1.29 -1155.74 0.40 -2.73 -1.87
1.23 -1.48 -0.43 0.11 -1.26 -1.23 0.16 -1.95 -1324.53 2.00 -4.08 -1.80
1.23 -1.36 -0.29 0.11 0.31 -0.30 -2.42 -0.22 -1008.01 -0.26 -5.12 -0.50
1.23 -3.11 -2.00 -0.12 -2.02 -0.30 -2.42 -0.58 -1317.06 -2.29 -4.08 -3.36
1.23 2.03 -0.46 -0.40 -4.12 -0.30 -2.49 -0.58 -1307.17 -0.46 -4.08 -3.36
2.20 -0.24 -1.86 -7.63 -3.85 -1.24 -1.06 1.84 -0.94 -2778.62 1.93 1.24
2.20 0.71 -2.00 -8.36 -3.12 -0.61 -1.06 -1.62 -0.94 -2752.17 1.96 -0.94
2.20 0.71 -2.00 -8.36 -3.12 -0.61 -1.06 -1.62 -0.94 -2742.53 1.96 -0.94
2.20 -0.69 -1.86 -7.63 -3.85 -1.24 -1.06 1.44 -0.94 -2791.71 1.93 0.44
2.20 -0.24 -1.86 -7.63 -2.56 -1.24 -1.06 1.84 -0.94 -2790.51 1.93 1.52
2.20 -0.69 -1.86 -7.63 -3.85 -1.24 -1.06 1.44 0.18 -2778.97 1.93 0.44
1.97 -0.28 -1.07 -0.72 -76.65 0.33 -1.84 -1.34 -3.87 -0.55 -2870.92 -3.02
0.85 -0.75 -1.07 -2.91 -81.19 0.33 -1.09 1.54 -3.87 -0.55 -2878.00 -2.49
1.50 -0.28 -0.84 -1.61 -91.69 0.76 -0.32 0.10 -1.03 0.28 -2856.03 -3.47
-1.47 -0.28 -0.84 -1.61 -89.18 0.32 -1.57 0.10 -3.40 -1.09 -2821.09 -1.82
1.28 -0.28 -1.07 -1.61 -92.11 0.32 -0.32 0.10 -1.03 0.28 -2847.53 -1.85
1.80 -0.28 -1.07 -2.37 -88.89 1.70 -1.57 1.54 -3.60 2.02 -2835.86 -1.89
-1.09 -3.12 2.22 0.16 -2.70 -13.11 -2.38 1.24 -2.21 -0.55 -3.82 -2934.75
-1.09 -3.13 2.23 0.35 -2.70 -13.11 -2.37 1.24 -2.20 1.82 -2.83 -2877.66
1.80 -0.58 -0.14 0.60 -2.44 -12.97 -1.48 -1.52 1.14 -2.48 -2.51 -2907.17
0.42 -0.58 -0.14 -2.05 -3.15 -12.03 -1.48 -1.52 -1.34 -2.48 -2.58 -2867.73
0.42 -0.58 -0.14 0.60 -3.15 -15.57 -1.48 -0.56 1.14 -2.48 -2.08 -2862.34
-0.77 -1.25 1.05 0.60 -0.85 -18.36 -2.98 -0.36 -0.57 -0.71 -2.51 -2842.28
-1183.01 1.33 1.53 -3.86 -1.33 0.29 0.27 0.36 -0.16 4.08 0.28 -2.06
-1137.47 -6.76 0.62 -0.63 1.82 -0.14 0.85 0.72 0.56 -0.33 0.66 3.70
-1174.29 1.12 7.06 -3.87 0.99 -1.52 0.26 -0.77 -0.17 4.08 -0.18 -2.06
-1165.71 -3.10 6.86 -0.08 -1.91 -3.24 0.10 -0.33 0.08 0.00 -1.17 -1.36
-1161.80 -1.40 -2.01 -2.66 0.74 -1.88 -0.36 0.82 0.24 4.63 1.40 -0.08
-1221.89 0.81 -0.54 -2.61 2.31 0.29 -0.10 0.83 -0.17 -0.20 0.28 -3.06
-5.52 -1765.17 -1.66 1.22 -1.00 -0.13 -5.11 -6.69 -1.38 -0.13 -2.22 -1.46
-2.73 -1643.36 0.88 -3.80 -0.14 0.34 -4.81 -4.50 0.77 2.09 0.90 -0.76
-0.24 -1751.66 -4.25 -2.44 -1.01 -1.40 -2.15 -12.16 -2.45 -1.95 -2.49 0.91
