-1839.37 -1756.22 -1775.86
-1901.55 -1669.10 -1720.54
-1862.45 -1742.61 -1804.86
-1872.05 -1742.80 -1807.43
-1822.12 -1705.81 -1779.77
-1843.53 -1732.60 -1796.94
-1868.39 -1740.52 -1804.57
-1868.39 -1740.52 -1804.57
-1870.11 -1708.99 -1770.47
-1832.78 -1694.75 -1753.25
-1894.68 -1681.16 -1733.23
-1757.58 -1670.29 -1696.99
-1757.58 -1670.29 -1696.99
-1903.37 -1661.97 -1712.81
-1908.07 -1669.94 -1721.32
-1844.92 -1754.84 -1781.68
-1844.59 -1728.56 -1796.74
-1893.22 -1716.51 -1776.05
-1803.44 -1690.57 -1770.40
-1904.83 -1666.64 -1720.69
-1843.07 -1727.63 -1793.50
-1856.79 -1678.52 -1733.12
-1857.53 -1761.12 -1792.03
-1885.25 -1726.43 -1781.52
-1888.03 -1728.80 -1784.34
-1878.92 -1699.96 -1755.58
-1813.42 -1743.38 -1761.04
-1825.21 -1746.40 -1768.06
-1825.21 -1746.40 -1768.06
-1851.62 -1760.26 -1784.38
