2.48 0.38 1.34 -0.42 0.36 -0.79 -1.16 -2.40 -1.15 -0.81 -2.11 -2.92 0.54 0.27 -0.10 -2.87 -0.14 -1.53 -0.26 0.47 -1.46 -0.96 -1.63 2.03 -0.86 1.12 -2.81 -0.80 0.47 -1.23 5.88 -1.33 -0.15 -1.84 1.09 3.20 0.62 -0.30 3.80 -2.05 -1246.90 -6.82 -1.31 -3.63 -3.21 -2.31 -3.57 -5.15 -1.81 -0.43 -0.77 0.25 2.68
-2.08 -2.04 2.57 -1.65 -2.17 -0.46 -1.50 -1.49 -0.35 -3.87 -1.78 -0.41 -1.15 -1.15 -2.10 -3.66 -2.21 3.89 2.32 -1.05 1.98 -3.23 4.75 0.66 -0.80 -1.22 -1.81 1.01 2.59 0.08 -0.91 -4.88 -4.97 -0.95 -5.11 1.04 -1.85 -0.29 0.80 -2.14 -6.04 -2106.68 -4.95 -0.36 -0.57 1.43 0.35 -1.53 -21.00 1.09 -0.03 -5.27 0.46
1.01 -4.30 -0.40 -2.40 0.02 -2.18 -2.02 0.26 -2.13 2.00 -4.20 0.44 -2.15 -0.93 0.27 -1.84 2.60 0.70 -0.88 1.70 -2.19 -1.31 -2.91 -1.29 -1.95 -2.67 1.13 1.39 0.01 -1.02 1.37 -2.04 0.20 2.56 5.74 -0.67 -4.75 0.47 0.54 -2419.85 -1.63 1.51 2.66 -3.51 -0.03 -2.68 -84.70 -2.07 -3.84 -1.73 -1.65 -2.23 -2.14
1.67 0.19 -0.86 2.07 -1.10 -5.16 -1.20 0.33 0.98 -1.18 -3.54 0.72 0.17 -2.39 -0.70 -2.88 -3.25 -1.03 -1.45 0.83 -0.50 -1.72 -0.20 -0.68 -0.54 -4.94 -2.39 -0.04 -1.46 -0.36 3.44 -1.49 2.82 -0.94 -0.77 -0.51 0.89 -3.26 0.24 -1.34 -0.87 0.45 -9.69 -0.67 -1.30 7.99 0.67 0.51 0.27 -964.70 0.05 -6.92 -0.84
-0.66 -0.01 0.58 -1.85 -0.74 -1.42 -3.48 -2.25 0.67 0.49 -0.07 2.56 1.13 -0.67 5.30 0.00 0.44 -3.44 0.71 0.16 -2.39 0.71 -5.88 -1.76 -2.07 1.79 -0.16 1.24 -1.17 0.85 0.30 -0.45 1.30 0.46 -0.69 -1.07 0.86 -2.33 2.13 -49.97 -2.25 -1.04 -6.82 -0.98 -1.58 -2.61 -2420.46 -1.37 -0.42 1.11 -1.33 -1.74 -0.11
-1.04 -0.41 -2.02 -1.50 -1.31 -5.58 -1.27 -0.45 -4.51 -0.57 -4.94 -1.96 -2.23 0.43 -0.19 -0.83 -2.97 -1.40 -1.11 -0.33 -0.59 1.25 0.78 -2.05 -0.28 -0.51 0.99 -0.08 0.98 1.45 -0.57 -1.11 -3.55 1.16 5.13 -3.80 -1.87 0.67 -0.77 2.06 -2.83 -2.52 -0.11 -1.99 0.29 0.77 -2.41 -1362.49 -3.49 -0.21 -1.49 -2.08 -2.41
-0.62 -1.80 -3.29 0.53 -1.03 -3.07 0.28 -4.41 -0.88 2.01 -2.27 -0.75 -0.58 -1.27 -0.34 1.31 -0.27 -2.36 -0.88 -1.41 -1.89 -2.49 -2.32 -1.40 0.66 3.64 -2.56 -1.59 -1.33 1.14 -0.82 -1.50 -1.72 -2.11 -1.31 -1.81 -1.66 -1.46 -1.90 -2.77 -2.81 0.44 -2.97 -52.58 -2.72 -1.54 -1.41 -1.65 -3.59 -0.55 -2550.92 -0.45 1.05
-1.21 1.34 -1.70 -2.44 0.60 -1.48 1.68 -5.14 -0.59 -0.14 0.47 -1.81 -2.32 3.10 -2.27 -2.00 -0.28 -0.21 -3.51 -4.07 -2.07 0.49 -0.12 1.71 1.09 3.43 -1.69 -0.10 -0.26 1.88 -2.63 0.52 -6.78 -0.47 -2.44 -0.67 0.10 -0.79 -12.82 -4.59 -0.85 0.99 -1.14 -0.92 -1.00 -55.04 -2.33 -3.47 -1.26 -0.18 1.76 0.54 -2770.55
-2.17 1.64 -1.49 -0.66 -3.77 2.33 -0.71 -0.95 -1.29 0.65 -2.34 0.77 -1.72 -3.32 -2.88 0.81 0.11 -0.14 1.07 -0.95 0.82 1.47 0.73 -1.69 -0.50 -1.03 -0.46 -1.10 -1.74 -2.44 0.33 -0.59 -2.11 -1.46 -0.59 -0.26 0.28 -0.84 0.07 -1.93 -0.36 -17.38 -4.69 1.43 -2.54 -2.80 -0.09 -0.36 -1919.55 0.44 -3.41 0.61 0.08
-1.75 -0.87 -2.39 0.96 -0.22 -0.61 -0.16 -0.47 -3.68 -2.04 1.43 -2.11 -1.55 -1.57 -0.68 -3.19 0.35 -1.18 -2.73 0.34 -0.35 -1.96 0.14 -0.82 -0.94 -0.81 -3.79 1.47 -6.51 -2.00 -2.95 0.40 -0.12 -6.72 -4.82 -2.14 -2.60 -4.17 -2.12 -0.80 0.85 -3.61 -1007.68 -0.31 -1.76 0.18 -2.12 -0.84 -0.34 -10.40 -0.48 -1.35 -1.46
