-25.81 -1741.65 -22.81 -15.91 -15.28 -28.13 -39.11 -25.40 -20.48 -1.66
-18.78 -1722.33 -26.63 -12.01 -12.64 -27.70 -44.83 -21.33 -15.68 -2.57
-27.20 -1572.57 -27.28 -12.99 -13.66 -21.69 -37.63 -24.16 -17.21 -4.17
-3.00 -0.68 -5.39 -4.08 -13.41 -2.97 -7.46 -10.64 -4.57 -1819.11
-4.63 -0.67 -3.72 -3.08 -8.79 -1.48 -2.41 -9.02 -1.33 -1832.21
-6.25 -0.67 -7.74 -1.37 -5.77 -0.18 -2.75 -6.74 -4.16 -1680.73
-20.52 -1472.28 -29.00 -15.88 -19.21 -24.16 -30.59 -27.37 -17.53 2.34
-6.26 -0.67 -3.72 -3.09 -8.78 -1.48 -2.76 -9.02 -4.16 -1813.82
-4.46 -0.67 -5.39 -4.09 -14.53 -3.61 -5.02 -6.51 -4.49 -1703.99
-4.62 1.24 -3.72 -3.08 -5.64 -0.95 -3.55 -6.39 -1.33 -1226.07
-25.81 -1730.52 -26.49 -15.91 -15.28 -26.70 -35.04 -26.53 -20.48 -1.66
-25.81 -1714.23 -22.56 -15.68 -15.28 -28.91 -46.61 -27.09 -17.37 -2.26
-18.48 -20.25 -1663.61 -32.92 -16.32 -23.24 -30.91 -14.33 -16.58 -2.36
-16.77 -16.06 -1103.52 -20.96 -12.71 -13.21 -16.73 -14.17 -10.62 0.38
-20.20 -17.97 -1079.80 -20.71 -15.69 -19.71 -18.33 -7.07 -11.09 -2.74
-22.02 -24.06 -1555.38 -19.70 -19.86 -15.09 -35.75 -15.03 -12.82 -7.75
-19.34 -16.96 -1646.08 -30.02 -16.94 -20.14 -31.80 -15.39 -19.18 -3.98
-19.94 -20.61 -1650.20 -32.92 -18.26 -26.47 -32.25 -18.50 -16.58 1.26
-182.93 -8.89 -25.99 -1663.47 -103.81 -8.16 -10.00 -98.62 -13.68 -0.55
-188.45 -9.26 -25.67 -1657.75 -104.16 -9.31 -10.00 -98.95 -13.68 -0.55
-190.73 -7.77 -25.52 -1642.83 -100.24 -8.67 -16.44 -100.96 -13.76 -4.40
-173.18 -10.63 -25.10 -1559.75 -110.21 -6.91 -16.75 -100.53 -20.59 -7.79
-167.88 -10.63 -25.10 -1556.78 -110.21 -6.91 -16.75 -100.53 -20.59 -7.79
-190.77 -11.12 -22.80 -1516.39 -109.05 -10.67 -15.44 -89.49 -11.17 -1.00
-68.66 -20.64 -23.21 -98.80 -1632.97 -13.44 -8.67 -328.42 -4.88 -8.21
-56.14 -3.69 -19.42 -76.67 -1593.89 -12.99 -9.90 -336.45 -4.53 -6.04
-56.44 -23.10 -23.21 -83.47 -1608.08 -20.44 -17.35 -329.90 -4.84 -8.83
-56.44 -23.10 -23.21 -84.62 -1607.12 -21.44 -17.35 -330.72 -4.84 -8.83
-67.40 -20.87 -18.07 -90.26 -1504.78 -16.44 -14.26 -304.06 -8.50 -10.22
-56.12 -20.79 -19.86 -86.85 -1473.87 -12.53 -7.44 -302.07 -7.40 -2.84
-12.04 -22.78 -20.76 -12.21 -20.06 -1543.82 -162.72 -14.95 -231.28 -4.14
-17.50 -20.05 -17.32 -14.99 -25.61 -1621.12 -187.06 -14.54 -238.03 -3.43
-12.04 -22.77 -20.76 -12.21 -21.35 -1610.95 -160.88 -14.96 -229.07 -4.13
-13.08 -16.71 -12.37 -13.30 -16.63 -1507.29 -157.93 -15.13 -227.02 -0.67
-13.09 -16.71 -12.38 -12.53 -17.96 -1554.63 -157.01 -15.06 -233.94 -1.86
-17.20 -21.94 -25.65 -12.95 -20.65 -1568.05 -164.93 -13.90 -225.67 -0.95
-14.55 -22.68 -32.96 -11.98 -26.52 -85.87 -1533.11 -20.59 -45.78 -0.25
-14.56 -22.02 -33.21 -12.82 -28.22 -75.80 -1580.77 -28.75 -41.47 -0.25
-17.03 -21.85 -15.17 -11.48 -10.58 -58.65 -1527.17 -9.67 -49.95 -3.52
-18.00 -20.92 -8.20 -11.54 -11.56 -60.30 -1541.87 -6.81 -41.41 -2.69
-14.56 -25.89 -33.14 -12.82 -26.09 -78.98 -1582.83 -26.37 -47.71 -0.25
-14.70 -18.88 -35.62 -17.11 -19.28 -84.55 -1564.82 -21.06 -55.84 1.45
-96.07 -17.81 -16.85 -98.00 -327.38 -12.24 -9.30 -1404.62 -11.23 -3.58
-83.74 -16.37 -16.85 -84.14 -341.59 -11.56 -8.09 -1411.49 -14.41 -3.53
-85.44 -16.45 -32.11 -93.31 -368.65 -13.81 -18.61 -1645.27 -17.86 -5.07
-75.63 -13.41 -29.99 -89.48 -357.90 -11.87 -17.85 -1633.82 -10.92 -4.86
-83.62 -17.62 -30.93 -88.18 -338.75 -11.72 -18.88 -1648.04 -11.62 -3.83
-79.21 -15.49 -30.94 -91.93 -366.32 -12.06 -16.34 -1628.92 -10.01 -4.83
-18.90 -28.35 -21.58 -12.70 -5.92 -242.27 -141.52 -18.58 -1675.52 1.91
-17.37 -25.50 -25.42 -14.02 -5.43 -272.40 -138.35 -6.83 -1688.32 -5.86
-16.71 -26.81 -20.28 -15.15 -7.31 -248.67 -135.88 -10.72 -1667.04 -4.89
-16.87 -21.36 -28.37 -16.41 -6.29 -229.31 -137.73 -11.70 -1606.33 -0.08
-18.90 -28.35 -21.58 -12.70 -5.92 -242.38 -141.97 -18.58 -1674.70 1.91
-18.90 -28.35 -21.58 -12.70 -5.92 -246.26 -144.48 -18.58 -1667.97 1.91
-1656.92 -20.75 -21.71 -298.87 -89.24 -21.82 -15.11 -126.63 -15.11 0.77
-1661.38 -20.75 -21.71 -297.47 -93.13 -21.82 -17.71 -126.98 -11.93 1.46
-1528.43 -18.75 -18.78 -331.87 -90.91 -19.15 -19.60 -95.81 -18.78 -2.27
-1511.20 -18.75 -18.78 -323.35 -87.30 -19.15 -19.60 -88.23 -18.52 -2.27
-1491.96 -19.99 -24.56 -290.21 -97.57 -13.78 -16.60 -124.90 -17.19 -0.26
-1311.33 -16.62 -17.68 -293.32 -99.89 -14.59 -24.28 -122.66 -8.32 -5.70
