-15.64 -13.17 -13.32 -26.84 -35.36 -20.22 -33.61 -24.95 -33.79 -13.05 -10.45 -23.24 -30.34 -18.72 -27.30 -17.97 -2053.54
-18.26 -13.11 -15.57 -26.66 -24.08 -32.90 -34.03 -24.75 -33.54 -16.06 -9.73 -22.68 -30.06 -17.66 -26.64 -15.48 -2196.44
-1994.19 -30.43 -63.09 -94.58 -163.22 -110.49 -105.08 -171.53 -319.16 -24.82 -29.94 -277.01 -257.95 -25.65 -110.36 -43.52 -8.32
-2035.56 -39.43 -62.61 -102.88 -157.91 -118.71 -119.09 -180.06 -250.39 -34.60 -26.36 -249.02 -263.37 -36.70 -116.40 -33.87 -6.66
-38.62 -1988.71 -66.82 -54.95 -59.92 -238.81 -410.34 -91.04 -56.92 -119.98 -102.38 -52.12 -62.21 -421.71 -17.37 -29.50 -3.08
-38.62 -1970.75 -59.21 -55.03 -54.54 -241.09 -399.54 -88.30 -53.01 -116.65 -102.32 -45.84 -57.78 -419.79 -20.16 -28.69 -3.08
-68.07 -46.68 -1996.44 -176.57 -379.83 -132.06 -90.45 -394.17 -125.90 -28.84 -79.60 -61.20 -88.29 -47.60 -126.89 -87.67 -6.13
-67.50 -55.80 -1992.83 -158.69 -373.43 -127.58 -84.96 -385.40 -138.26 -28.48 -82.23 -60.04 -87.60 -53.57 -138.96 -76.48 -10.05
-39.39 -39.25 -129.72 -1973.42 -250.56 -102.06 -118.50 -236.16 -55.48 -31.69 -62.45 -44.46 -102.01 -32.41 -283.04 -127.06 -14.95
-33.95 -29.28 -116.35 -1920.48 -242.04 -121.61 -139.27 -217.69 -74.37 -29.19 -59.28 -44.91 -127.62 -45.55 -304.40 -131.06 -14.51
-41.05 -28.87 -236.34 -194.26 -1778.12 -117.64 -128.18 -956.21 -58.26 -24.20 -37.78 -41.64 -49.03 -40.87 -103.92 -121.36 -9.10
-64.12 -24.90 -280.24 -200.11 -1757.27 -118.09 -137.60 -974.08 -60.99 -18.24 -61.36 -44.02 -53.96 -38.49 -110.75 -100.77 -2.12
-26.41 -75.14 -53.45 -49.48 -88.30 -1799.65 -226.11 -88.86 -28.55 -257.52 -621.39 -27.15 -22.60 -203.36 -57.37 -20.66 -2.17
-26.99 -95.70 -48.11 -49.32 -89.69 -1850.04 -223.35 -79.56 -28.86 -292.20 -615.55 -22.78 -23.13 -197.25 -47.96 -19.60 -3.47
-20.70 -306.34 -19.10 -67.61 -96.11 -239.01 -1851.87 -67.10 -37.46 -109.67 -137.30 -17.76 -26.53 -978.17 -30.15 -20.77 -2.95
-21.50 -292.58 -24.18 -69.78 -97.66 -238.66 -1915.18 -63.61 -32.49 -106.33 -134.93 -13.77 -26.45 -998.87 -29.40 -19.54 -0.96
-52.41 -47.52 -226.58 -176.70 -1009.63 -117.50 -77.46 -1836.79 -41.82 -27.12 -48.30 -57.94 -64.05 -55.58 -102.40 -83.16 -8.53
-67.44 -33.87 -208.32 -163.41 -1052.38 -118.32 -69.40 -1841.35 -42.43 -21.93 -25.33 -49.13 -67.00 -38.66 -68.28 -68.73 -24.84
-304.64 -41.20 -137.82 -116.41 -162.84 -99.68 -103.53 -143.62 -1919.79 -31.61 -45.12 -598.61 -313.17 -34.23 -119.89 -56.10 -14.48
-322.52 -51.25 -155.31 -132.96 -177.57 -107.41 -118.78 -172.97 -1913.40 -39.39 -51.21 -620.44 -331.29 -37.59 -131.41 -60.60 -18.22
-21.34 -122.60 -20.19 -47.81 -35.16 -430.75 -187.64 -46.23 -24.40 -2030.90 -331.50 -29.39 -29.83 -164.27 -15.50 -7.38 -12.71
-28.87 -113.73 -21.31 -56.47 -39.11 -442.13 -193.05 -42.27 -23.82 -2099.24 -325.64 -31.48 -26.73 -180.53 -16.75 -13.47 -7.87
-26.75 -107.10 -79.45 -58.35 -97.28 -765.63 -207.91 -93.72 -40.59 -329.87 -1978.55 -29.19 -27.81 -192.95 -38.37 -29.36 0.68
-29.41 -95.76 -72.42 -56.73 -83.87 -720.55 -189.24 -69.34 -37.63 -342.22 -1987.41 -31.75 -24.21 -199.36 -37.62 -24.10 -8.92
-278.77 -41.74 -109.44 -87.46 -150.10 -76.05 -87.53 -156.94 -626.36 -36.30 -30.70 -2110.15 -244.82 -30.40 -100.18 -54.94 -6.89
-284.02 -35.55 -98.63 -85.11 -142.42 -71.45 -63.03 -141.05 -652.29 -31.39 -26.21 -2057.28 -249.73 -31.86 -93.10 -50.14 -9.82
-265.40 -45.70 -81.33 -183.07 -146.74 -90.25 -98.07 -174.58 -271.56 -22.26 -28.71 -210.90 -1892.44 -42.68 -108.72 -40.40 -20.10
-247.06 -47.24 -75.68 -180.55 -142.66 -96.31 -88.58 -156.38 -250.95 -24.82 -30.88 -187.99 -1914.75 -40.04 -104.31 -36.42 -19.06
-23.13 -332.15 -28.81 -48.67 -56.04 -239.85 -812.70 -48.39 -26.09 -82.56 -177.71 -13.44 -27.13 -1844.44 -25.62 -32.31 -11.45
-23.69 -352.76 -38.79 -38.88 -77.11 -258.60 -819.37 -86.10 -26.26 -109.04 -123.44 -24.34 -23.40 -1844.72 -22.63 -21.84 -2.78
-59.99 -5.85 -105.85 -376.12 -191.93 -99.31 -103.76 -173.14 -48.46 -15.68 -39.42 -37.14 -85.85 -19.70 -2058.13 -148.97 -11.33
-60.75 -2.83 -114.67 -367.71 -171.47 -98.71 -93.60 -164.78 -46.47 -17.78 -39.31 -37.45 -76.02 -21.22 -2046.81 -145.01 -11.33
-37.24 -38.42 -97.42 -238.56 -222.79 -71.89 -98.72 -178.75 -74.95 -18.29 -35.40 -53.12 -61.29 -32.72 -174.97 -1605.83 -1.45
-37.48 -39.29 -92.55 -267.89 -221.69 -88.01 -113.37 -199.15 -63.16 -21.25 -28.60 -43.46 -61.60 -32.05 -194.34 -1969.53 -2.44
