-1967.54 -1905.23 -1839.74 -1898.34
-1859.05 -1916.61 -1731.49 -1982.61
-1913.37 -1990.69 -1779.55 -2033.57
-1969.72 -1955.78 -1827.69 -1945.10
-1960.46 -1945.11 -1820.27 -1935.08
-1972.41 -1962.00 -1829.89 -1948.23
-1906.92 -1980.45 -1776.61 -2041.74
-1899.70 -1971.77 -1769.85 -2033.50
-1846.79 -1791.47 -1917.40 -1793.52
-1855.66 -1914.98 -1737.20 -2039.49
-1888.19 -1922.62 -1750.21 -1916.59
-1152.65 -1129.52 -1179.45 -1125.73
-1174.52 -1153.19 -1193.66 -1146.16
-1907.90 -2038.47 -1772.76 -1984.62
-1848.63 -1795.90 -1926.45 -1800.87
-1902.92 -2028.38 -1777.52 -1972.49
-1898.04 -2024.56 -1764.25 -1969.25
-1844.73 -1795.82 -1913.31 -1785.68
-1912.30 -2037.19 -1777.98 -1989.60
-1906.07 -2031.10 -1776.25 -1979.58
-1872.10 -1823.86 -1933.54 -1815.37
-1881.14 -1830.65 -1945.72 -1819.38
-1882.04 -1830.95 -1940.75 -1823.42
-1970.30 -1956.53 -1828.08 -1953.73
-1971.36 -1956.30 -1845.11 -1946.50
-1904.00 -1977.00 -1771.69 -2036.69
-1963.41 -1947.06 -1822.02 -1941.37
-1849.50 -1907.80 -1730.78 -2033.87
-1891.75 -2014.07 -1759.29 -1964.95
-1877.77 -2031.79 -1743.19 -1932.15
-1982.28 -1970.49 -1839.92 -1960.97
-1866.38 -2014.52 -1740.58 -1911.28
-1879.77 -1944.01 -1763.60 -2003.85
-1802.22 -1952.80 -1684.70 -1836.16
-1847.02 -1904.52 -1729.71 -2032.28
-1825.29 -1778.24 -1903.04 -1764.71
