1.27 -0.60 -0.36 0.87 -34.93 0.31 0.60 -2.15 -3.47 -0.79 -15.51 1.38 -3.85 -1.54 -1.06 -1.40 -2768.91 -3.74 -0.05 -4.29 -1.71 -1.35 -597.61 -1.36
-0.34 -2.81 0.08 1.05 -0.36 5.84 1.00 1.09 3.20 0.11 -0.84 3.54 -1161.76 -6.82 3.14 -3.63 -3.21 -1.41 -4.84 0.03 -0.43 -0.61 -3.03 0.34
-3.25 -2.39 -0.04 -1.46 -0.36 3.44 2.82 -0.77 -0.51 0.89 -3.26 0.24 -0.87 0.45 -9.69 -0.67 -1.30 7.99 0.51 0.27 -964.70 0.05 -6.92 -0.84
-0.27 -1.69 -0.10 -0.26 1.88 -2.14 -7.16 -2.44 -0.67 0.11 -0.79 -14.79 -0.85 0.25 -1.14 -1.07 -1.02 -57.64 -3.47 0.45 -0.18 0.97 0.54 -2756.77
-0.27 -4.15 -1.59 -1.26 1.22 -1.16 -1.72 -1.31 -1.81 -1.66 -1.41 -1.90 -2.23 -3.27 -0.91 -52.97 -2.72 -1.54 -2.57 -2.65 -0.55 -2556.19 -0.45 0.46
-0.48 -0.36 -0.72 -0.05 -2.54 0.33 -2.63 -2.39 -0.72 -0.41 -0.54 1.36 -1.32 -15.89 -1.69 0.34 -2.22 -2.80 -2.14 -1990.45 0.52 -4.49 -0.31 1.87
-0.25 -0.70 -1.56 -2.69 -20.75 -1.72 -4.22 0.38 -2.04 -1.12 -19.69 0.09 0.91 -2.95 1.14 -2.00 -458.93 0.13 -4.99 -0.39 -6.42 -0.36 -2709.88 0.51
-1.85 0.60 -0.08 0.61 0.37 -2.23 -3.34 3.30 -2.69 -1.87 -0.16 -1.98 -2.83 -1.92 -1.14 -1.99 0.40 -1.02 -1373.55 -3.17 -1.45 -1.68 -4.31 -0.94
-0.20 -0.97 1.46 -3.92 -1.53 0.42 -2.23 -2.06 -0.19 0.89 -3.12 -0.37 0.54 -5.02 -966.41 -1.01 -1.26 -1.09 -1.14 -3.28 -9.69 -0.48 0.21 0.23
-2.76 -0.84 -0.35 -2594.39 -0.17 0.02 -4.64 -0.49 0.51 -4.42 -2.86 -0.16 -2.39 -2.10 -4.27 -4.40 1.79 -0.01 1.79 -2.45 0.46 -1.86 0.52 -3.07
-1.57 -2.13 -0.05 -0.35 -2248.82 3.44 -2.58 1.31 -0.50 2.37 -50.72 1.21 -4.02 -0.62 -3.05 -0.37 -43.19 0.17 -1.37 -1.58 -1.71 -1.19 -27.81 0.90
2.94 -2.61 -1.68 0.88 -1.63 -2544.53 0.92 -1.40 -1.78 -4.92 0.29 -10.21 3.57 0.66 -0.85 1.21 1.31 -8.15 -0.37 0.81 0.29 -1.66 -3.31 -9.76
-0.67 -6.46 -2.65 -0.27 -3.24 -4.10 -1379.06 -4.68 -2.81 -1.20 -1.01 -1.07 -0.02 -3.01 -0.10 -3.34 -1.32 -2.76 -4.44 -3.53 2.95 -2.11 -2.35 -6.46
0.10 -13.78 -3.20 0.60 0.31 1.78 -3.24 -2160.47 -2.05 -0.21 -0.29 -0.47 -0.27 -10.17 -2.31 0.52 -0.30 -0.52 3.53 0.97 -2.65 -0.37 -0.84 -1.13
0.83 -1.67 -0.46 -0.40 -2.02 -0.24 -2.42 -0.58 -1316.30 -2.29 -3.96 -3.36 3.02 -0.61 -0.01 2.54 -2.91 -2.07 -1.83 1.17 -1.73 -1.63 2.48 -2.83
2.20 -0.69 -1.86 -6.44 -3.85 -1.24 -1.06 0.52 -0.94 -2792.18 1.93 0.44 -4.40 -0.17 -1.05 -5.69 -1.01 -2.01 -0.50 -1.41 0.11 -10.01 1.03 0.68
1.97 -0.75 -1.07 -2.91 -78.69 0.33 -2.12 -1.34 -2.96 -0.35 -2866.38 -1.64 1.47 -1.86 -0.95 -0.72 -25.36 -0.24 -0.98 0.17 -2.69 -2.61 -44.72 0.75
0.42 -0.58 -0.14 0.60 -3.15 -11.96 -1.48 -0.56 -1.34 -2.48 -2.51 -2899.25 2.64 -0.77 0.30 -2.58 -0.28 -17.10 -3.46 0.21 -2.72 1.93 -3.16 -12.03
-1018.28 -1.66 -0.17 -0.62 1.01 -0.14 0.84 -1.54 0.57 -0.32 -0.90 -1.35 -2.27 -3.09 -2.81 0.14 -0.51 -1.11 -2.60 0.68 -2.67 3.71 -1.37 0.13
0.16 -1704.90 -4.24 1.70 -1.35 -1.38 -1.67 -11.80 -3.22 -0.68 -2.49 2.14 -3.27 -4.61 -2.84 -2.15 -3.20 1.75 0.00 0.43 -2.06 -0.03 -0.49 2.72
-0.14 -6.28 -927.73 -2.50 1.22 -1.57 -1.45 3.15 -2.44 -0.53 -0.10 -2.00 -2.56 3.66 2.13 0.70 -2.98 -0.87 -4.47 1.24 1.66 0.25 -0.62 -0.73
-2.21 -1.98 1.01 1.29 -0.06 -0.91 -1.37 -5.11 -1.84 -1.85 -0.29 0.80 -6.04 -2078.47 -3.13 -0.48 -3.45 1.43 -1.99 -21.00 3.17 -0.21 -3.82 1.47
2.71 -3.32 -0.63 -2.32 -2.73 -0.05 -3.57 1.11 -1.37 -3.75 0.81 -0.47 -3.84 -0.18 0.99 -2591.41 -0.53 1.15 -3.00 -1.73 -1.95 -59.92 -1.50 -1.98
-0.47 0.62 0.56 0.19 -0.97 -5.79 1.08 -1.70 -3.34 0.12 0.58 -24.26 0.80 0.57 1.02 -1.75 -2.71 -562.03 1.49 -2.98 -2.38 -1.16 -3.39 -86.07
