-1750.30 -1694.23 -1862.09
-1745.53 -1692.99 -1892.07
-1672.60 -1740.51 -1750.91
-1747.32 -1701.09 -1859.87
-1703.39 -1757.79 -1783.63
-1744.20 -1709.25 -1855.77
-1789.46 -1667.05 -1817.51
-1792.21 -1656.97 -1798.63
-1873.20 -1639.52 -1769.73
-1868.11 -1635.55 -1763.42
-1707.60 -1767.90 -1787.07
-1873.05 -1633.93 -1764.30
-1862.23 -1622.79 -1744.13
-1870.37 -1634.03 -1758.19
-1870.73 -1636.64 -1766.19
-1715.40 -1770.84 -1794.25
-1873.02 -1635.14 -1764.91
-1706.36 -1765.79 -1785.79
-1870.04 -1636.13 -1764.50
-1875.27 -1637.39 -1768.36
-1874.44 -1639.79 -1765.11
-1862.08 -1621.86 -1750.81
-1672.17 -1632.53 -1896.40
-1666.44 -1627.59 -1893.14
-1644.17 -1607.46 -1881.95
-1638.05 -1599.08 -1874.82
-1658.98 -1618.29 -1892.75
-1673.77 -1630.00 -1897.62
-1673.32 -1637.62 -1903.63
-1640.82 -1611.12 -1882.38
-1700.10 -1749.70 -1803.27
-1727.23 -1766.83 -1831.43
-1720.98 -1759.12 -1831.63
-1668.17 -1630.80 -1895.03
-1638.35 -1608.96 -1880.21
-1649.83 -1615.06 -1871.26
