794.81 334.34 115.63 147.26 164.77 -89.98 259.52
729.75 251.43 -76.49 120.17 176.15 97.69 222.43
790.41 319.31 121.93 135.11 167.63 -88.40 250.11
764.50 286.15 93.52 111.67 -62.84 121.00 188.59
787.59 325.25 127.01 149.49 161.24 -77.73 262.85
770.03 321.08 123.10 157.37 179.03 -81.07 261.21
776.85 312.01 128.53 132.95 165.69 -75.48 237.09
721.71 315.47 112.86 145.66 187.27 -45.81 246.18
-355.61 207.62 520.40 533.93 682.33 575.04 520.23
-371.56 217.03 523.81 557.38 698.53 589.77 529.90
472.20 -121.05 179.81 271.77 326.49 267.54 345.29
468.48 -120.23 182.17 279.45 342.21 265.18 350.78
469.85 -124.54 176.96 276.73 334.61 273.25 343.44
469.60 -123.94 175.15 267.95 336.85 275.45 344.60
456.71 -129.07 186.25 282.03 349.71 272.62 355.10
455.77 -133.36 175.10 278.03 342.93 271.22 344.19
473.95 -126.57 169.62 270.71 337.70 266.11 343.69
-367.27 210.60 525.05 562.41 699.65 580.85 530.21
-348.35 211.44 529.06 542.38 694.03 568.92 448.42
-341.32 186.22 523.36 529.37 669.36 566.93 435.34
-359.99 190.83 523.24 534.43 670.64 573.21 477.64
-322.35 158.94 483.58 482.89 656.84 545.41 433.33
-293.46 171.54 495.71 507.77 660.46 546.81 473.27
518.81 -68.51 133.67 236.12 279.94 235.94 308.23
433.32 -30.54 168.84 264.51 319.96 262.33 323.91
450.86 -66.16 175.99 254.99 338.16 270.14 324.01
443.29 -78.00 176.39 262.68 330.74 267.52 330.08
522.73 -48.06 154.53 237.56 269.39 240.52 312.90
522.73 -48.06 154.53 237.56 269.39 240.52 312.90
-363.46 218.12 530.24 555.54 697.28 588.94 533.11
-366.00 211.78 522.33 553.65 697.70 587.95 536.27
-362.75 208.31 520.50 552.58 695.97 586.10 534.73
465.82 -117.55 173.82 262.06 330.51 272.38 343.07
-364.29 216.23 525.55 548.87 694.77 581.02 527.93
449.20 -60.73 176.50 234.93 320.03 262.83 331.29
489.99 -98.08 160.75 254.41 318.87 267.95 334.57
-367.25 218.25 525.51 555.07 698.13 590.14 537.77
-365.54 218.74 523.05 552.65 694.96 589.60 534.39
-366.58 217.10 528.63 561.81 704.18 585.33 535.32
-369.22 218.63 525.18 556.30 704.67 596.44 538.01
-369.23 217.18 521.24 552.31 690.36 587.08 529.82
557.98 -28.52 111.21 214.51 233.99 211.98 300.62
-364.29 213.83 530.56 549.09 688.71 589.14 529.89
-371.29 215.20 530.65 546.91 700.27 586.18 531.55
-371.29 215.20 530.65 546.91 700.27 586.18 531.55
-364.54 212.64 521.97 547.35 702.80 597.02 528.31
451.09 -75.36 155.45 249.40 341.80 273.96 331.30
496.74 -65.35 152.87 232.71 290.27 260.12 315.21
517.17 -103.49 139.42 236.76 284.85 251.85 313.70
527.22 -71.17 133.67 226.38 273.29 230.14 297.02
511.39 -118.04 148.84 241.42 298.06 254.69 312.67
474.82 -124.08 180.31 268.61 325.19 272.75 340.90
-360.86 215.78 518.53 550.89 698.42 586.56 531.95
-362.10 212.29 530.79 558.89 690.46 586.65 534.10
488.51 -61.83 152.79 233.97 292.38 251.81 304.71
-349.04 212.16 519.32 534.74 681.30 569.00 514.30
-354.90 195.82 515.97 535.61 681.35 585.57 489.90
-340.71 213.75 514.33 542.21 687.71 582.37 523.28
477.73 -125.71 172.66 264.98 316.15 267.88 331.54
