595.18 146.69 149.35 163.83 54.85 56.67
595.18 146.69 149.35 163.83 54.85 56.67
646.58 182.66 183.97 103.54 80.84 80.27
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
650.31 186.34 183.40 152.32 68.76 72.40
666.38 183.40 179.33 176.63 62.78 66.17
643.64 184.04 185.48 110.15 75.07 82.52
643.64 184.04 185.48 110.15 75.07 82.52
646.66 184.19 189.25 111.80 75.15 81.91
646.66 184.19 189.25 111.80 75.15 81.91
643.69 183.29 188.68 102.44 76.29 83.17
643.69 183.29 188.68 102.44 76.29 83.17
650.04 184.82 189.24 106.82 80.85 79.03
675.02 200.82 52.20 222.62 105.16 93.44
675.02 200.82 52.20 222.62 105.16 93.44
676.82 192.83 79.72 217.04 99.66 80.81
676.82 192.83 79.72 217.04 99.66 80.81
733.02 259.02 249.46 278.82 148.74 5.09
667.50 196.98 46.52 219.16 103.54 94.16
718.16 255.17 243.33 274.97 146.76 2.89
682.07 175.39 177.02 193.15 64.54 61.19
644.75 187.44 186.33 126.02 72.32 77.00
684.35 182.99 182.08 196.34 63.48 62.38
700.89 188.80 193.54 211.83 78.47 47.83
688.61 105.43 186.26 211.79 81.86 72.71
680.04 182.02 182.78 192.48 62.90 60.87
666.79 200.28 207.80 224.50 112.43 19.02
676.47 258.40 253.04 268.14 152.45 -5.65
731.84 252.91 233.73 269.87 139.27 8.32
679.78 97.29 184.21 207.89 77.37 75.28
711.78 215.44 215.21 245.76 111.32 21.94
687.11 104.42 186.21 210.28 80.80 72.86
683.24 101.67 186.02 210.46 80.92 72.64
683.24 101.67 186.02 210.46 80.92 72.64
683.94 102.08 186.75 211.16 82.45 72.05
684.86 102.30 185.51 209.38 80.39 73.09
681.44 196.65 87.19 220.30 101.57 78.75
683.10 202.21 74.41 218.60 99.85 83.73
720.71 246.95 230.43 266.13 138.49 7.88
731.05 252.13 238.18 269.06 136.38 8.23
666.08 71.93 189.92 208.86 81.18 80.95
429.20 48.77 127.42 132.70 48.76 50.40
683.93 180.68 183.74 192.57 61.89 63.13
675.10 198.45 86.64 207.34 95.93 81.37
677.52 181.07 178.07 193.60 66.05 56.16
676.11 197.60 59.18 219.66 103.94 89.85
695.60 262.53 251.86 273.22 156.96 -2.43
